Judge_Model,Metric,Effect,RAF_NoCritic (N/Mean),RAF_Critic (N/Mean),AVL_NoCritic (N/Mean),AVL_Critic (N/Mean),Interaction_Delta,Interaction_Direction,Mean_Diff,CI95,Cohen_d,Test_Used,SW_p_A,SW_p_B,Statistic,p_raw,Conclusion
gemma3:12b-it-fp16,CH,Simple Effect: Curve @ No_Critic,54.0 / 4.963,54.0 / 4.9259,54.0 / 4.8704,54.0 / 4.8704,-0.0371,AVL benefits more from Critic,0.0926,"[-0.0127, 0.1979]",0.3367,Mann-Whitney U,0.0,0.0,1593.0,0.0843 nan,A > B (nan)
gemma3:12b-it-fp16,CH,Simple Effect: Curve @ With_Critic,54.0 / 4.963,54.0 / 4.9259,54.0 / 4.8704,54.0 / 4.8704,-0.0371,AVL benefits more from Critic,0.0556,"[-0.0605, 0.1716]",0.1827,Mann-Whitney U,0.0,0.0,1539.0,0.3451 nan,A > B (nan)
gemma3:12b-it-fp16,EM,Main Effect A (Curve: RAF vs AVL),54.0 / 4.2037,54.0 / 4.3333,54.0 / 4.5926,54.0 / 4.4259,0.2963,RAF benefits more from Critic,-0.2407,"[-0.3681, -0.1134]",-0.5072,Mann-Whitney U,0.0,0.0,4428.0,<0.001 ***,A < B (***)
gemma3:12b-it-fp16,EM,Main Effect B (Critic: No vs With),54.0 / 4.2037,54.0 / 4.3333,54.0 / 4.5926,54.0 / 4.4259,0.2963,RAF benefits more from Critic,0.0185,"[-0.1128, 0.1499]",0.0378,Mann-Whitney U,0.0,0.0,5940.0,0.7816 nan,A > B (nan)
gemma3:12b-it-fp16,EM,Simple Effect: Critic @ RAF,54.0 / 4.2037,54.0 / 4.3333,54.0 / 4.5926,54.0 / 4.4259,0.2963,RAF benefits more from Critic,-0.1296,"[-0.2985, 0.0393]",-0.2929,Mann-Whitney U,0.0,0.0,1269.0,0.1314 nan,A < B (nan)
gemma3:12b-it-fp16,EM,Simple Effect: Critic @ AVL,54.0 / 4.2037,54.0 / 4.3333,54.0 / 4.5926,54.0 / 4.4259,0.2963,RAF benefits more from Critic,0.1667,"[-0.0232, 0.3565]",0.335,Mann-Whitney U,0.0,0.0,1701.0,0.0853 nan,A > B (nan)
gemma3:12b-it-fp16,EM,Simple Effect: Curve @ No_Critic,54.0 / 4.2037,54.0 / 4.3333,54.0 / 4.5926,54.0 / 4.4259,0.2963,RAF benefits more from Critic,-0.3889,"[-0.5620, -0.2158]",-0.8576,Mann-Whitney U,0.0,0.0,891.0,<0.001 ***,A < B (***)
gemma3:12b-it-fp16,EM,Simple Effect: Curve @ With_Critic,54.0 / 4.2037,54.0 / 4.3333,54.0 / 4.5926,54.0 / 4.4259,0.2963,RAF benefits more from Critic,-0.0926,"[-0.2786, 0.0935]",-0.1899,Mann-Whitney U,0.0,0.0,1323.0,0.3255 nan,A < B (nan)
gemma3:12b-it-fp16,SU,Main Effect A (Curve: RAF vs AVL),54.0 / 3.0185,54.0 / 3.0741,54.0 / 3.1481,54.0 / 3.1296,0.0741,RAF benefits more from Critic,-0.0926,"[-0.1698, -0.0154]",-0.3221,Mann-Whitney U,0.0,0.0,5292.0,0.0193 *,A < B (*)
gemma3:12b-it-fp16,SU,Main Effect B (Critic: No vs With),54.0 / 3.0185,54.0 / 3.0741,54.0 / 3.1481,54.0 / 3.1296,0.0741,RAF benefits more from Critic,-0.0185,"[-0.0966, 0.0596]",-0.0636,Mann-Whitney U,0.0,0.0,5724.0,0.6411 nan,A < B (nan)
gemma3:12b-it-fp16,SU,Simple Effect: Critic @ RAF,54.0 / 3.0185,54.0 / 3.0741,54.0 / 3.1481,54.0 / 3.1296,0.0741,RAF benefits more from Critic,-0.0556,"[-0.1361, 0.0250]",-0.2643,Mann-Whitney U,0.0,0.0,1377.0,0.1741 nan,A < B (nan)
gemma3:12b-it-fp16,SU,Simple Effect: Critic @ AVL,54.0 / 3.0185,54.0 / 3.0741,54.0 / 3.1481,54.0 / 3.1296,0.0741,RAF benefits more from Critic,0.0185,"[-0.1146, 0.1517]",0.0531,Mann-Whitney U,0.0,0.0,1485.0,0.7858 nan,A > B (nan)
gemma3:12b-it-fp16,SU,Simple Effect: Curve @ No_Critic,54.0 / 3.0185,54.0 / 3.0741,54.0 / 3.1481,54.0 / 3.1296,0.0741,RAF benefits more from Critic,-0.1296,"[-0.2338, -0.0255]",-0.478,Mann-Whitney U,0.0,0.0,1269.0,0.0155 *,A < B (*)
gemma3:12b-it-fp16,SU,Simple Effect: Curve @ With_Critic,54.0 / 3.0185,54.0 / 3.0741,54.0 / 3.1481,54.0 / 3.1296,0.0741,RAF benefits more from Critic,-0.0556,"[-0.1716, 0.0605]",-0.1827,Mann-Whitney U,0.0,0.0,1377.0,0.3451 nan,A < B (nan)
gemma3:12b-it-fp16,EG,Main Effect A (Curve: RAF vs AVL),54.0 / 4.6852,54.0 / 4.7037,54.0 / 4.8519,54.0 / 4.7963,0.0741,RAF benefits more from Critic,-0.1296,"[-0.2435, -0.0157]",-0.3053,Mann-Whitney U,0.0,0.0,5076.0,0.0263 *,A < B (*)
gemma3:12b-it-fp16,EG,Main Effect B (Critic: No vs With),54.0 / 4.6852,54.0 / 4.7037,54.0 / 4.8519,54.0 / 4.7963,0.0741,RAF benefits more from Critic,0.0185,"[-0.0967, 0.1337]",0.0431,Mann-Whitney U,0.0,0.0,5940.0,0.7519 nan,A > B (nan)
gemma3:12b-it-fp16,EG,Simple Effect: Critic @ RAF,54.0 / 4.6852,54.0 / 4.7037,54.0 / 4.8519,54.0 / 4.7963,0.0741,RAF benefits more from Critic,-0.0185,"[-0.1959, 0.1589]",-0.0398,Mann-Whitney U,0.0,0.0,1431.0,0.8383 nan,A < B (nan)
gemma3:12b-it-fp16,EG,Simple Effect: Critic @ AVL,54.0 / 4.6852,54.0 / 4.7037,54.0 / 4.8519,54.0 / 4.7963,0.0741,RAF benefits more from Critic,0.0556,"[-0.0907, 0.2018]",0.1449,Mann-Whitney U,0.0,0.0,1539.0,0.4533 nan,A > B (nan)
gemma3:12b-it-fp16,EG,Simple Effect: Curve @ No_Critic,54.0 / 4.6852,54.0 / 4.7037,54.0 / 4.8519,54.0 / 4.7963,0.0741,RAF benefits more from Critic,-0.1667,"[-0.3260, -0.0073]",-0.3993,Mann-Whitney U,0.0,0.0,1215.0,0.0414 *,A < B (*)
gemma3:12b-it-fp16,EG,Simple Effect: Curve @ With_Critic,54.0 / 4.6852,54.0 / 4.7037,54.0 / 4.8519,54.0 / 4.7963,0.0741,RAF benefits more from Critic,-0.0926,"[-0.2584, 0.0732]",-0.2131,Mann-Whitney U,0.0,0.0,1323.0,0.2705 nan,A < B (nan)
gemma3:12b-it-fp16,CX,Main Effect A (Curve: RAF vs AVL),54.0 / 4.037,54.0 / 4.0185,54.0 / 4.037,54.0 / 4.0556,-0.0371,AVL benefits more from Critic,-0.0185,"[-0.0694, 0.0323]",-0.0977,Mann-Whitney U,0.0,0.0,5724.0,0.4743 nan,A < B (nan)
gemma3:12b-it-fp16,CX,Main Effect B (Critic: No vs With),54.0 / 4.037,54.0 / 4.0185,54.0 / 4.037,54.0 / 4.0556,-0.0371,AVL benefits more from Critic,0.0,"[-0.0509, 0.0509]",0.0,Mann-Whitney U,0.0,0.0,5832.0,1.0000 nan,A = B (nan)
gemma3:12b-it-fp16,CX,Simple Effect: Critic @ RAF,54.0 / 4.037,54.0 / 4.0185,54.0 / 4.037,54.0 / 4.0556,-0.0371,AVL benefits more from Critic,0.0185,"[-0.0447, 0.0818]",0.1118,Mann-Whitney U,0.0,0.0,1485.0,0.5673 nan,A > B (nan)
gemma3:12b-it-fp16,CX,Simple Effect: Critic @ AVL,54.0 / 4.037,54.0 / 4.0185,54.0 / 4.037,54.0 / 4.0556,-0.0371,AVL benefits more from Critic,-0.0185,"[-0.0994, 0.0624]",-0.0874,Mann-Whitney U,0.0,0.0,1431.0,0.6546 nan,A < B (nan)
gemma3:12b-it-fp16,CX,Simple Effect: Curve @ No_Critic,54.0 / 4.037,54.0 / 4.0185,54.0 / 4.037,54.0 / 4.0556,-0.0371,AVL benefits more from Critic,0.0,"[-0.0727, 0.0727]",0.0,Mann-Whitney U,0.0,0.0,1458.0,1.0000 nan,A = B (nan)
gemma3:12b-it-fp16,CX,Simple Effect: Curve @ With_Critic,54.0 / 4.037,54.0 / 4.0185,54.0 / 4.037,54.0 / 4.0556,-0.0371,AVL benefits more from Critic,-0.037,"[-0.1096, 0.0355]",-0.1952,Mann-Whitney U,0.0,0.0,1404.0,0.3149 nan,A < B (nan)
gemma3:12b-it-fp16,OV,Main Effect A (Curve: RAF vs AVL),54.0 / 4.3179,54.0 / 4.3395,54.0 / 4.4136,54.0 / 4.3796,0.0556,RAF benefits more from Critic,-0.0679,"[-0.1051, -0.0307]",-0.4893,Mann-Whitney U,0.0,0.0,4469.5,0.0010 **,A < B (**)
gemma3:12b-it-fp16,OV,Main Effect B (Critic: No vs With),54.0 / 4.3179,54.0 / 4.3395,54.0 / 4.4136,54.0 / 4.3796,0.0556,RAF benefits more from Critic,0.0062,"[-0.0321, 0.0445]",0.0432,Mann-Whitney U,0.0,0.0,5991.0,0.7027 nan,A > B (nan)
gemma3:12b-it-fp16,OV,Simple Effect: Critic @ RAF,54.0 / 4.3179,54.0 / 4.3395,54.0 / 4.4136,54.0 / 4.3796,0.0556,RAF benefits more from Critic,-0.0216,"[-0.0712, 0.0280]",-0.1662,Mann-Whitney U,0.0,0.0,1320.5,0.3481 nan,A < B (nan)
gemma3:12b-it-fp16,OV,Simple Effect: Critic @ AVL,54.0 / 4.3179,54.0 / 4.3395,54.0 / 4.4136,54.0 / 4.3796,0.0556,RAF benefits more from Critic,0.034,"[-0.0221, 0.0900]",0.2312,Mann-Whitney U,0.0,0.0,1681.0,0.1323 nan,A > B (nan)
gemma3:12b-it-fp16,OV,Simple Effect: Curve @ No_Critic,54.0 / 4.3179,54.0 / 4.3395,54.0 / 4.4136,54.0 / 4.3796,0.0556,RAF benefits more from Critic,-0.0957,"[-0.1451, -0.0462]",-0.7387,Mann-Whitney U,0.0,0.0,930.5,<0.001 ***,A < B (***)
gemma3:12b-it-fp16,OV,Simple Effect: Curve @ With_Critic,54.0 / 4.3179,54.0 / 4.3395,54.0 / 4.4136,54.0 / 4.3796,0.0556,RAF benefits more from Critic,-0.0401,"[-0.0963, 0.0161]",-0.2724,Mann-Whitney U,0.0,0.0,1301.5,0.2846 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,RE,Main Effect A (Curve: RAF vs AVL),54.0 / 4.713,54.0 / 4.6389,54.0 / 4.8148,54.0 / 4.8704,-0.1297,AVL benefits more from Critic,-0.1667,"[-0.2688, -0.0645]",-0.438,Mann-Whitney U,0.0,0.0,4846.0,0.0081 **,A < B (**)
mistral:7b-instruct-v0.3-fp16,RE,Main Effect B (Critic: No vs With),54.0 / 4.713,54.0 / 4.6389,54.0 / 4.8148,54.0 / 4.8704,-0.1297,AVL benefits more from Critic,0.0093,"[-0.0952, 0.1138]",0.0238,Mann-Whitney U,0.0,0.0,5753.0,0.8330 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,RE,Simple Effect: Critic @ RAF,54.0 / 4.713,54.0 / 4.6389,54.0 / 4.8148,54.0 / 4.8704,-0.1297,AVL benefits more from Critic,0.0741,"[-0.0958, 0.2440]",0.1664,Mann-Whitney U,0.0,0.0,1557.0,0.4782 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,RE,Simple Effect: Critic @ AVL,54.0 / 4.713,54.0 / 4.6389,54.0 / 4.8148,54.0 / 4.8704,-0.1297,AVL benefits more from Critic,-0.0556,"[-0.1712, 0.0601]",-0.1833,Mann-Whitney U,0.0,0.0,1308.0,0.2185 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,RE,Simple Effect: Curve @ No_Critic,54.0 / 4.713,54.0 / 4.6389,54.0 / 4.8148,54.0 / 4.8704,-0.1297,AVL benefits more from Critic,-0.1019,"[-0.2429, 0.0392]",-0.2759,Mann-Whitney U,0.0,0.0,1319.0,0.3030 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,RE,Simple Effect: Curve @ With_Critic,54.0 / 4.713,54.0 / 4.6389,54.0 / 4.8148,54.0 / 4.8704,-0.1297,AVL benefits more from Critic,-0.2315,"[-0.3814, -0.0815]",-0.5903,Mann-Whitney U,0.0,0.0,1113.0,0.0076 **,A < B (**)
mistral:7b-instruct-v0.3-fp16,CH,Main Effect A (Curve: RAF vs AVL),54.0 / 4.9815,54.0 / 4.7222,54.0 / 4.5556,54.0 / 4.7778,-0.4815,AVL benefits more from Critic,0.1852,"[-0.0839, 0.4543]",0.1847,Mann-Whitney U,0.0,0.0,6419.0,0.0129 *,A > B (*)
mistral:7b-instruct-v0.3-fp16,CH,Main Effect B (Critic: No vs With),54.0 / 4.9815,54.0 / 4.7222,54.0 / 4.5556,54.0 / 4.7778,-0.4815,AVL benefits more from Critic,0.0185,"[-0.2516, 0.2886]",0.0184,Mann-Whitney U,0.0,0.0,5581.5,0.2895 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,CH,Simple Effect: Critic @ RAF,54.0 / 4.9815,54.0 / 4.7222,54.0 / 4.5556,54.0 / 4.7778,-0.4815,AVL benefits more from Critic,0.2593,"[-0.0573, 0.5758]",0.3161,Mann-Whitney U,0.0,0.0,1488.0,0.6186 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,CH,Simple Effect: Critic @ AVL,54.0 / 4.9815,54.0 / 4.7222,54.0 / 4.5556,54.0 / 4.7778,-0.4815,AVL benefits more from Critic,-0.2222,"[-0.6622, 0.2178]",-0.1929,Mann-Whitney U,0.0,0.0,1299.0,0.1148 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,CH,Simple Effect: Curve @ No_Critic,54.0 / 4.9815,54.0 / 4.7222,54.0 / 4.5556,54.0 / 4.7778,-0.4815,AVL benefits more from Critic,0.4259,"[0.0658, 0.7861]",0.4564,Mann-Whitney U,0.0,0.0,1706.0,0.0071 **,A > B (**)
mistral:7b-instruct-v0.3-fp16,CH,Simple Effect: Curve @ With_Critic,54.0 / 4.9815,54.0 / 4.7222,54.0 / 4.5556,54.0 / 4.7778,-0.4815,AVL benefits more from Critic,-0.0556,"[-0.4611, 0.3500]",-0.0523,Mann-Whitney U,0.0,0.0,1507.5,0.5072 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,EM,Main Effect A (Curve: RAF vs AVL),54.0 / 4.1019,54.0 / 4.0463,54.0 / 4.2407,54.0 / 4.1296,0.0555,RAF benefits more from Critic,-0.1111,"[-0.1861, -0.0361]",-0.3977,Mann-Whitney U,0.0,0.0,4940.0,0.0048 **,A < B (**)
mistral:7b-instruct-v0.3-fp16,EM,Main Effect B (Critic: No vs With),54.0 / 4.1019,54.0 / 4.0463,54.0 / 4.2407,54.0 / 4.1296,0.0555,RAF benefits more from Critic,0.0833,"[0.0077, 0.1590]",0.2957,Mann-Whitney U,0.0,0.0,6581.0,0.0180 *,A > B (*)
mistral:7b-instruct-v0.3-fp16,EM,Simple Effect: Critic @ RAF,54.0 / 4.1019,54.0 / 4.0463,54.0 / 4.2407,54.0 / 4.1296,0.0555,RAF benefits more from Critic,0.0556,"[-0.0259, 0.1371]",0.2604,Mann-Whitney U,0.0,0.0,1592.5,0.1446 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,EM,Simple Effect: Critic @ AVL,54.0 / 4.1019,54.0 / 4.0463,54.0 / 4.2407,54.0 / 4.1296,0.0555,RAF benefits more from Critic,0.1111,"[-0.0144, 0.2366]",0.3379,Mann-Whitney U,0.0,0.0,1698.0,0.0581 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,EM,Simple Effect: Curve @ No_Critic,54.0 / 4.1019,54.0 / 4.0463,54.0 / 4.2407,54.0 / 4.1296,0.0555,RAF benefits more from Critic,-0.1389,"[-0.2566, -0.0212]",-0.4508,Mann-Whitney U,0.0,0.0,1175.5,0.0238 *,A < B (*)
mistral:7b-instruct-v0.3-fp16,EM,Simple Effect: Curve @ With_Critic,54.0 / 4.1019,54.0 / 4.0463,54.0 / 4.2407,54.0 / 4.1296,0.0555,RAF benefits more from Critic,-0.0833,"[-0.1761, 0.0094]",-0.3438,Mann-Whitney U,0.0,0.0,1293.0,0.0830 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,SU,Main Effect A (Curve: RAF vs AVL),54.0 / 3.6574,54.0 / 3.5648,54.0 / 3.784,54.0 / 3.7315,-0.0401,AVL benefits more from Critic,-0.1466,"[-0.2641, -0.0291]",-0.3348,Mann-Whitney U,0.0,0.0,4959.0,0.0244 *,A < B (*)
mistral:7b-instruct-v0.3-fp16,SU,Main Effect B (Critic: No vs With),54.0 / 3.6574,54.0 / 3.5648,54.0 / 3.784,54.0 / 3.7315,-0.0401,AVL benefits more from Critic,0.0725,"[-0.0462, 0.1912]",0.1639,Mann-Whitney U,0.0,0.0,6198.0,0.3458 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,SU,Simple Effect: Critic @ RAF,54.0 / 3.6574,54.0 / 3.5648,54.0 / 3.784,54.0 / 3.7315,-0.0401,AVL benefits more from Critic,0.0926,"[-0.0887, 0.2739]",0.1949,Mann-Whitney U,0.0,0.0,1588.5,0.3577 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,SU,Simple Effect: Critic @ AVL,54.0 / 3.6574,54.0 / 3.5648,54.0 / 3.784,54.0 / 3.7315,-0.0401,AVL benefits more from Critic,0.0525,"[-0.0994, 0.2043]",0.1319,Mann-Whitney U,0.0,0.0,1504.5,0.7247 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,SU,Simple Effect: Curve @ No_Critic,54.0 / 3.6574,54.0 / 3.5648,54.0 / 3.784,54.0 / 3.7315,-0.0401,AVL benefits more from Critic,-0.1265,"[-0.2831, 0.0301]",-0.3085,Mann-Whitney U,0.0,0.0,1271.0,0.1722 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,SU,Simple Effect: Curve @ With_Critic,54.0 / 3.6574,54.0 / 3.5648,54.0 / 3.784,54.0 / 3.7315,-0.0401,AVL benefits more from Critic,-0.1667,"[-0.3440, 0.0106]",-0.3587,Mann-Whitney U,0.0,0.0,1214.0,0.0765 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,EG,Main Effect A (Curve: RAF vs AVL),54.0 / 4.3889,54.0 / 4.3889,54.0 / 4.537,54.0 / 4.537,0.0,Equal gain,-0.1481,"[-0.2745, -0.0218]",-0.3144,Mann-Whitney U,0.0,0.0,4872.0,0.0202 *,A < B (*)
mistral:7b-instruct-v0.3-fp16,EG,Main Effect B (Critic: No vs With),54.0 / 4.3889,54.0 / 4.3889,54.0 / 4.537,54.0 / 4.537,0.0,Equal gain,0.0,"[-0.1280, 0.1280]",0.0,Mann-Whitney U,0.0,0.0,5848.0,0.9701 nan,A = B (nan)
mistral:7b-instruct-v0.3-fp16,EG,Simple Effect: Critic @ RAF,54.0 / 4.3889,54.0 / 4.3889,54.0 / 4.537,54.0 / 4.537,0.0,Equal gain,0.0,"[-0.1822, 0.1822]",0.0,Mann-Whitney U,0.0,0.0,1464.0,0.9690 nan,A = B (nan)
mistral:7b-instruct-v0.3-fp16,EG,Simple Effect: Critic @ AVL,54.0 / 4.3889,54.0 / 4.3889,54.0 / 4.537,54.0 / 4.537,0.0,Equal gain,0.0,"[-0.1791, 0.1791]",0.0,Mann-Whitney U,0.0,0.0,1452.0,0.9704 nan,A = B (nan)
mistral:7b-instruct-v0.3-fp16,EG,Simple Effect: Curve @ No_Critic,54.0 / 4.3889,54.0 / 4.3889,54.0 / 4.537,54.0 / 4.537,0.0,Equal gain,-0.1481,"[-0.3249, 0.0287]",-0.3197,Mann-Whitney U,0.0,0.0,1208.0,0.0923 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,EG,Simple Effect: Curve @ With_Critic,54.0 / 4.3889,54.0 / 4.3889,54.0 / 4.537,54.0 / 4.537,0.0,Equal gain,-0.1481,"[-0.3326, 0.0363]",-0.3065,Mann-Whitney U,0.0,0.0,1228.0,0.1116 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,CX,Main Effect A (Curve: RAF vs AVL),54.0 / 4.0741,54.0 / 4.0185,54.0 / 4.0926,54.0 / 4.0741,-0.0371,AVL benefits more from Critic,-0.037,"[-0.0979, 0.0238]",-0.1632,Mann-Whitney U,0.0,0.0,5518.0,0.2105 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,CX,Main Effect B (Critic: No vs With),54.0 / 4.0741,54.0 / 4.0185,54.0 / 4.0926,54.0 / 4.0741,-0.0371,AVL benefits more from Critic,0.037,"[-0.0238, 0.0979]",0.1632,Mann-Whitney U,0.0,0.0,6146.0,0.2105 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,CX,Simple Effect: Critic @ RAF,54.0 / 4.0741,54.0 / 4.0185,54.0 / 4.0926,54.0 / 4.0741,-0.0371,AVL benefits more from Critic,0.0556,"[-0.0288, 0.1399]",0.2512,Mann-Whitney U,0.0,0.0,1563.0,0.2015 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,CX,Simple Effect: Critic @ AVL,54.0 / 4.0741,54.0 / 4.0185,54.0 / 4.0926,54.0 / 4.0741,-0.0371,AVL benefits more from Critic,0.0185,"[-0.0703, 0.1073]",0.0796,Mann-Whitney U,0.0,0.0,1510.0,0.5873 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,CX,Simple Effect: Curve @ No_Critic,54.0 / 4.0741,54.0 / 4.0185,54.0 / 4.0926,54.0 / 4.0741,-0.0371,AVL benefits more from Critic,-0.0185,"[-0.1073, 0.0703]",-0.0796,Mann-Whitney U,0.0,0.0,1406.0,0.5873 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,CX,Simple Effect: Curve @ With_Critic,54.0 / 4.0741,54.0 / 4.0185,54.0 / 4.0926,54.0 / 4.0741,-0.0371,AVL benefits more from Critic,-0.0556,"[-0.1399, 0.0288]",-0.2512,Mann-Whitney U,0.0,0.0,1353.0,0.2015 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,OV,Main Effect A (Curve: RAF vs AVL),54.0 / 4.3194,54.0 / 4.2694,54.0 / 4.3918,54.0 / 4.3812,-0.0394,AVL benefits more from Critic,-0.092,"[-0.1438, -0.0403]",-0.4773,Mann-Whitney U,0.0,0.0,4471.0,0.0023 **,A < B (**)
mistral:7b-instruct-v0.3-fp16,OV,Main Effect B (Critic: No vs With),54.0 / 4.3194,54.0 / 4.2694,54.0 / 4.3918,54.0 / 4.3812,-0.0394,AVL benefits more from Critic,0.0303,"[-0.0227, 0.0833]",0.1533,Mann-Whitney U,0.0,0.0,6148.5,0.4781 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,OV,Simple Effect: Critic @ RAF,54.0 / 4.3194,54.0 / 4.2694,54.0 / 4.3918,54.0 / 4.3812,-0.0394,AVL benefits more from Critic,0.05,"[-0.0310, 0.1310]",0.2355,Mann-Whitney U,0.0001,0.0,1607.5,0.3452 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,OV,Simple Effect: Critic @ AVL,54.0 / 4.3194,54.0 / 4.2694,54.0 / 4.3918,54.0 / 4.3812,-0.0394,AVL benefits more from Critic,0.0106,"[-0.0547, 0.0759]",0.0619,Mann-Whitney U,0.0044,0.0,1482.0,0.8809 nan,A > B (nan)
mistral:7b-instruct-v0.3-fp16,OV,Simple Effect: Curve @ No_Critic,54.0 / 4.3194,54.0 / 4.2694,54.0 / 4.3918,54.0 / 4.3812,-0.0394,AVL benefits more from Critic,-0.0723,"[-0.1425, -0.0021]",-0.3931,Mann-Whitney U,0.0001,0.0044,1176.0,0.0755 nan,A < B (nan)
mistral:7b-instruct-v0.3-fp16,OV,Simple Effect: Curve @ With_Critic,54.0 / 4.3194,54.0 / 4.2694,54.0 / 4.3918,54.0 / 4.3812,-0.0394,AVL benefits more from Critic,-0.1117,"[-0.1886, -0.0348]",-0.555,Mann-Whitney U,0.0,0.0,1067.0,0.0128 *,A < B (*)
