Method,Curve_Type,Theme,Genre,Novel,Story_ID,Route_File,Model,Num_Runs,Status,RE_Score,CH_Score,EM_Score,SU_Score,EG_Score,CX_Score,OV_Score,Best_OV,OV_Voters,Best_EM,EM_Voters,Selected
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_2.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_3.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_3.txt,Mistral-7B,3,OK,5.0,0.0,4.0,4.0,5.0,4.0,4.4,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_3.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_4.txt,Gemma3-12B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,YES,Gemma3-12B; Qwen3-14B,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_4.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,YES,Gemma3-12B; Qwen3-14B,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_4.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,YES,Gemma3-12B; Qwen3-14B,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_5.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_5.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_5.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_6.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_6.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_6.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_7.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_7.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,,,,,
AVL_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_7.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_1.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_1.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_1.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_2.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_2.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_2.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_3.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_3.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_3.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_4.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_4.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_4.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_5.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_5.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_5.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_6.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_6.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_6.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_7.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_7.txt,Mistral-7B,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_7.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_8.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_8.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,4.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_8.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,3.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_9.txt,Gemma3-12B,3,OK,5.0,5.0,5.0,3.0,4.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_9.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_9.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_1.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,YES,Mistral-7B; Qwen3-14B,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_1.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,YES,Mistral-7B; Qwen3-14B,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_1.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,4.0,5.0,4.0,4.6667,YES,Mistral-7B; Qwen3-14B,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_2.txt,Gemma3-12B,3,OK,5.0,5.0,5.0,4.0,5.0,4.0,4.6667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_2.txt,Mistral-7B,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_2.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_3.txt,Gemma3-12B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,YES,Gemma3-12B; Mistral-7B; Qwen3-14B,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_3.txt,Mistral-7B,3,OK,4.5,5.0,4.5,3.5,4.5,4.0,4.3333,,,YES,Gemma3-12B; Mistral-7B; Qwen3-14B,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_3.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,YES,Gemma3-12B; Mistral-7B; Qwen3-14B,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_4.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_4.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_4.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_5.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_5.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_5.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_6.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_6.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_6.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,4.0,5.0,4.0,4.6667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_7.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_7.txt,Mistral-7B,3,OK,4.5,5.0,4.5,3.5,4.5,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_7.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_8.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_8.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_8.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_9.txt,Gemma3-12B,3,OK,5.0,5.0,5.0,4.0,5.0,4.0,4.6667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_9.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_2,Story_2,Route_9.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_1.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_1.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_1.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_2.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_2.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_2.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_3.txt,Gemma3-12B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_3.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_3.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_4.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_4.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_4.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_5.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_5.txt,Mistral-7B,3,OK,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_5.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_6.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_6.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,4.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_6.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,2.0,5.0,3.0,4.1667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_7.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_7.txt,Mistral-7B,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,,,,,
AVL_NoCritic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_3,Story_3,Route_7.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,3.0,4.3333,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_1.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_1.txt,Mistral-7B,3,OK,5.0,5.0,4.0,4.0,4.0,4.0,4.3333,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_1.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,2.0,5.0,4.0,4.3333,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_2.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_2.txt,Mistral-7B,3,OK,5.0,0.0,4.0,4.0,5.0,4.0,4.4,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_2.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,2.0,5.0,4.0,4.3333,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_3.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_3.txt,Mistral-7B,3,OK,5.0,0.0,4.0,3.0,4.0,4.0,4.0,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_3.txt,Qwen3-14B,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,,,,,
RAF_Critic,Curve_1,Climate_Change,Romance,World_Curve_1_Story_1,Story_1,Route_4.txt,Gemma3-12B,3,OK,5.0,5.0,4.0,3.0,4.0,3.0,4.0,,,,,
